#物品编号,类型,图标编号,名字,颜色,负重,装备类别,限制类型(装备限制条件:0:角色等级 4:元神等级;礼包限制条件：0:无限制 1:有无帮会 11-17:货币限制),等级限制,出售价格,转生等级限制,品质,职业,性别,装备组,装备对比,帮会捐献值,摧毁提示,装备内功,装备背景,回收金币,回收经验,回收组ID,是否可使用,能否销毁,能否存入仓库,能否推送,背包是否显示使用标志,限定次数用完之后是否显示推送,功能配置,功能参数,批量使用,使用后给的物品flag,使用后给的物品的值,物品描述,获取途径,光柱特效,装备子类型,防掉落概率(万分比),最大星级,属性值,基础属性百分百,最终属性百分比,随机最大攻击,随机最大防御,拾取类型,特效ID,等阶
#mTypeID,SubType,mIconID,mName,mColor,mWeight,mEquipType,mNeedType,mNeedParam,mPrice,mNeedZsLevel,mEquipLevel,mJob,mGender,mEquipGroup,mEquipComp,mEquipContribute,mShowDest,mAddPower,mItemBg,recycle_money,mRecycleExp,mRecycleId,mCanUse,mCanDestroy,mCanDepot,mCanPush,mBagShow,mTimesLimit,func_id,func_params,mCanMultiUse,mGiveFlag,mGiveValue,mDesp,mSource,mGZEffectID,mSubEquipType,mDropProtect,mMaxLevel,attr,baseattrprop,lastattrprop,randMDC,randMAC,mPickUpType,mEffectID,mRank
#int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,string,string,int,int,int,int,string,string,string,int,int,int,int,int
#新装备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009001,1,10001401,海纳百川·剑,0,0,1,0,100,0,0,2,0,0,1009,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;108900;7;1512;8;5040;13;180,0,0,0,0,1002,0,9
10010001,1,10001401,灵犀望月·剑,0,0,1,0,100,0,0,2,0,0,1010,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;121000;7;1680;8;5600;13;200,0,0,0,0,1002,0,10
10011001,1,10001402,乱世天籁·剑,0,0,1,0,150,0,0,3,0,0,1011,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;157300;7;2184;8;7280;13;220,0,0,0,0,1003,0,11
10012001,1,10001402,邪影々莲芯＾剑,0,0,1,0,150,0,0,3,0,0,1012,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;193600;7;2688;8;8960;13;240,0,0,0,0,1003,0,12
10013001,1,10001402,辟地ぃ黄泉＾剑,0,0,1,0,150,0,0,3,0,0,1013,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;229900;7;3192;8;10640;13;260,0,0,0,0,1003,0,13
10014001,1,10001402,揽星ゃ太极清源剑,0,0,1,0,150,0,0,3,0,0,1014,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;266200;7;3696;8;12320;13;280,0,0,0,0,1003,0,14
10015001,1,10001402,圣龙风火ァ无之剑,0,0,1,0,150,0,0,3,0,0,1015,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;302500;7;4200;8;14000;13;300,0,0,0,0,1003,0,15
10016001,1,10001404,赤阳ㄟ神魔ミ剑,0,0,1,0,200,0,0,4,0,0,1016,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;338800;7;4704;8;15680;13;320,0,0,0,0,1004,0,16
10017001,1,10001404,ㄟ神域ヲ焚天ㄨ剑,0,0,1,0,200,0,0,4,0,0,1017,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;375100;7;5208;8;17360;13;340,0,0,0,0,1004,0,17
10018001,1,10001404,月影々圣光＾剑,0,0,1,0,200,0,0,4,0,0,1018,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;411400;7;5712;8;19040;13;360,0,0,0,0,1004,0,18
10019001,1,10001404,赤阳ㄟ神魔ミ剑,0,0,1,0,200,0,0,4,0,0,1019,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;447700;7;6216;8;20720;13;380,0,0,0,0,1004,0,19
10020001,1,10001404,ぺ上古へ神话ぃ刃ぺ剑,0,0,1,0,200,0,0,4,0,0,1020,1,0,0,0,4,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,2;484000;7;6720;8;22400;13;400,0,0,0,0,1004,0,20
10021001,1,10001405,ぺ暗黑ブ禁忌ぃ刃ぺ剑,0,0,1,0,250,0,0,5,0,0,1021,1,0,0,0,5,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,2;605000;7;8400;8;28000;13;420,0,0,0,0,1005,0,21
10022001,1,10001405,玄影ゃ火云阳炎剑,0,0,1,0,250,0,0,5,0,0,1022,1,0,0,0,5,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,2;847000;7;11760;8;39200;13;440,0,0,0,0,1005,0,22
10023001,1,10001405,万剑归宗ァ吟啸剑,0,0,1,0,250,0,0,5,0,0,1023,1,0,0,0,5,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,2;1089000;7;15120;8;50400;13;460,0,0,0,0,1005,0,23
10024001,1,10001405,太古々沧海ん剑,0,0,1,0,250,0,0,5,0,0,1024,1,0,0,0,6,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,2;1452000;7;20160;8;67200;13;480,0,0,0,0,1005,0,24
10025001,1,10001405,红名恐惧·陨落剑,0,0,1,0,250,0,0,5,0,0,1025,1,0,0,0,6,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,2;1815000;7;25200;8;84000;13;500,0,0,0,0,1005,0,25
10026001,1,10001403,圣龙风火ァ无之剑,0,0,1,0,250,0,0,5,0,0,1026,1,0,0,0,7,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,2;2299000;7;31920;8;106400;13;520,0,0,0,0,1006,0,26
10027001,1,10001403,炙焰＾修罗嗜血·剑,0,0,1,0,300,0,0,6,0,0,1027,1,0,0,0,7,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,2;2783000;7;38640;8;128800;13;540,0,0,0,0,1006,0,27
10028001,1,10001403,苍龍＾狂龙之怒·剑,0,0,1,0,300,0,0,5,0,0,1028,1,0,0,0,7,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,2;3388000;7;47040;8;156800;13;560,0,0,0,0,1006,0,28
10029001,1,10001403,星辰＾时空领域剑,0,0,1,0,300,0,0,9,0,0,1029,1,0,0,0,7,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,2;4114000;7;57120;8;190400;13;580,0,0,0,0,1006,0,29
10030001,1,10001403,九殿＾阎罗地藏剑,0,0,1,0,300,0,0,9,0,0,1030,1,0,0,0,7,0,0,7,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,2;4961000;7;68880;8;229600;13;600;39;99220;67;49610,0,0,0,0,1006,0,30
10031001,1,10001406,归元＾神迹湮灭剑,0,0,1,0,300,0,0,9,0,0,1030,1,0,0,0,7,0,0,8,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52007,0,0,9999,2;5929000;7;82320;8;274400;13;620;39;118580;67;59290,0,0,0,0,1007,0,31
10032001,1,10001406,沧海＾不灭之道·断龙斩,0,0,1,0,350,0,0,9,0,0,1032,1,0,0,0,8,0,0,9,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52007,0,0,9999,2;7018000;7;97440;8;324800;13;640;39;140360;67;70180,0,0,0,0,1007,0,32
10033001,1,10001406,玄羽灬流云〃地裂メ剑,0,0,1,0,350,0,0,9,0,0,1033,1,0,0,0,8,0,0,10,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52007,0,0,9999,2;8349000;7;115920;8;386400;13;660;39;166980;67;83490,0,0,0,0,1007,0,33
10034001,1,10001406,冷魅ァ地域浩杰剑,0,0,1,0,350,0,0,10,0,0,1034,1,0,0,0,8,0,0,11,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52007,0,0,9999,2;9922000;7;137760;8;459200;13;680;39;198440;67;99220,0,0,0,0,1007,0,34
10035001,1,10001406,不屈丶万物皆可杀剑,0,0,1,0,350,0,0,10,0,0,1035,1,0,0,0,8,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52007,0,0,9999,2;12100000;7;168000;8;560000;13;700;39;242000;67;121000,0,0,0,0,1007,0,35
10036001,1,10001407,罪々江湖梦＾救世·剑,0,0,1,0,400,0,0,10,0,0,1036,1,0,0,0,8,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52008,0,0,9999,2;14278000;7;192640;8;660800;13;720;39;285560;67;142780,0,0,0,0,1008,0,36
10037001,1,10001407,念々无望念＾嗜杀·剑,0,0,1,0,400,0,0,10,0,0,1037,1,0,0,0,9,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52008,0,0,9999,2;16456000;7;218680;8;761600;13;740;39;329120;67;164560,0,0,0,0,1008,0,37
10038001,1,10001407,贪々天道回＾奢望·剑,0,0,1,0,400,0,0,10,0,0,1038,1,0,0,0,9,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52008,0,0,9999,2;18634000;7;244720;8;862400;13;760;39;372680;67;186340,0,0,0,0,1008,0,38
10039001,1,10001407,妄々悔清源＾人心·剑,0,0,1,0,400,0,0,10,0,0,1039,1,0,0,0,9,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52008,0,0,9999,2;20812000;7;270760;8;963200;13;780;39;416240;67;208120,0,0,0,0,1008,0,39
10040001,1,10001407,灭々万物生＾初始·剑,0,0,1,0,400,0,0,11,0,0,1040,1,0,0,0,9,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52008,0,0,9999,2;22990000;7;296800;8;1064000;13;800;39;459800;67;229900,0,0,0,0,1008,0,40
10041001,1,10001408,影々天不惧＾破之·剑,0,0,1,0,400,0,0,11,0,0,1041,1,0,0,0,9,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52008,0,0,9999,2;25168000;7;322840;8;1164800;13;820;39;503360;67;251680,0,0,0,0,1009,0,41
10042001,1,10001408,『清梦无思』封ァ剑,0,0,1,0,450,0,0,11,0,0,1042,1,0,0,0,10,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52009,0,0,9999,2;27346000;7;348880;8;1265600;13;840;39;546920;67;273460,0,0,0,0,1009,0,42
10043001,1,10001408,『一步归心』镇ァ剑,0,0,1,0,450,0,0,11,0,0,1043,1,0,0,0,10,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52009,0,0,9999,2;29524000;7;374920;8;1366400;13;860;39;590480;67;295240,0,0,0,0,1009,0,43
10044001,1,10001408,『无尽破灭』斩ァ剑,0,0,1,0,450,0,0,11,0,0,1044,1,0,0,0,10,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52009,0,0,9999,2;31702000;7;400960;8;1467200;13;880;39;634040;67;317020,0,0,0,0,1009,0,44
10045001,1,10001408,『邪地地域』毁ァ剑,0,0,1,0,450,0,0,11,0,0,1045,1,0,0,0,10,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52009,0,0,9999,2;33880000;7;427000;8;1568000;13;900;39;677600;67;338800,0,0,0,0,1009,0,45
10046001,1,10001408,『执掌四道』赏ァ剑,0,0,1,0,500,0,0,11,0,0,1046,1,0,0,0,10,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52009,0,0,9999,2;36058000;7;453040;8;1668800;13;920;39;721160;67;360580,0,0,0,0,1010,0,46
10047001,1,10001409,太古·敬ぅ赤月神魔ソ剑,0,0,1,0,550,0,0,12,0,0,1047,1,0,0,0,11,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52009,0,0,9999,2;38236000;7;479080;8;1769600;13;940;39;764720;67;382360,0,0,0,0,1010,0,47
10048001,1,10001409,太古·敬ぅ大道无望ソ剑,0,0,1,0,600,0,0,12,0,0,1048,1,0,0,0,11,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52010,0,0,9999,2;40414000;7;505120;8;1870400;13;960;39;808280;67;404140,0,0,0,0,1010,0,48
10049001,1,10001410,初首々大道苍梧·剑,0,0,1,0,650,0,0,12,0,0,1049,1,0,0,0,11,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52010,0,0,9999,2;42592000;7;531160;8;1971200;13;980;39;851840;67;425920,0,0,0,0,1010,0,49
10050001,1,10001410,初首々藏道违心·剑,0,0,1,0,700,0,0,12,0,0,1050,1,0,0,0,11,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52010,0,0,9999,2;44770000;7;557200;8;2072000;13;1000;39;895400;67;447700,0,0,0,0,1010,0,50
10051001,1,10001411,碎空々「九苍之下」＾剑,0,0,1,0,750,0,0,12,0,0,1051,1,0,0,0,12,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52010,0,0,9999,2;46948000;7;583240;8;2172800;13;1020;39;938960;67;469480,0,0,0,0,1011,0,51
10052001,1,10001411,碎空々「万域为首」＾剑,0,0,1,0,800,0,0,12,0,0,1052,1,0,0,0,12,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52010,0,0,9999,2;49126000;7;609280;8;2273600;13;1040;39;982520;67;491260,0,0,0,0,1011,0,52
10053001,1,10001412,圣「史诗」叶飞花·剑,0,0,1,0,850,0,0,13,0,0,1053,1,0,0,0,12,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52011,0,0,9999,2;51304000;7;635320;8;2374400;13;1060;39;1026080;67;513040,0,0,0,0,1011,0,53
10054001,1,10001412,圣「传说」世子年ˇ剑,0,0,1,0,900,0,0,13,0,0,1054,1,0,0,0,13,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52011,0,0,9999,2;53482000;7;661360;8;2475200;13;1080;39;1069640;67;534820,0,0,0,0,1011,0,54
10055001,1,10001413,圣「传说」碧落泉ˇ剑,0,0,1,0,950,0,0,13,0,0,1055,1,0,0,0,13,0,0,12,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52011,0,0,9999,2;55660000;7;687400;8;2576000;13;1100;39;1113200;67;556600,0,0,0,0,1011,0,55
10001002,1,10001502,初心〃甲,0,0,2,0,1,0,0,1,0,0,1001,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;770;2;23100;3;49;4;141;7;58;8;192;14;10,0,0,0,0,1001,0,1
10002002,1,10001502,龙象迷魄·甲,0,0,2,0,50,0,0,1,0,0,1002,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;1540;2;46200;3;99;4;282;7;115;8;384;14;25,0,0,0,0,1001,0,2
10003002,1,10001502,红莲天舞·甲,0,0,2,0,50,0,0,1,0,0,1003,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;2310;2;69300;3;148;4;423;7;173;8;576;14;40,0,0,0,0,1001,0,3
10004002,1,10001502,荒毒碟恋·甲,0,0,2,0,50,0,0,1,0,0,1004,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;3080;2;92400;3;197;4;564;7;230;8;768;14;55,0,0,0,0,1001,0,4
10005002,1,10001502,暗殇圣者·甲,0,0,2,0,50,0,0,1,0,0,1005,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;3850;2;115500;3;247;4;705;7;288;8;960;14;70,0,0,0,0,1001,0,5
10006002,1,10001503,剑影花馨·甲,0,0,2,0,100,0,0,2,0,0,1006,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;4620;2;138600;3;296;4;846;7;346;8;1152;14;85,0,0,0,0,1002,0,6
10007002,1,10001503,悟道永恒·甲,0,0,2,0,100,0,0,2,0,0,1007,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;5390;2;161700;3;345;4;987;7;403;8;1344;14;100,0,0,0,0,1002,0,7
10008002,1,10001503,无极永生·甲,0,0,2,0,100,0,0,2,0,0,1008,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;6160;2;184800;3;395;4;1128;7;461;8;1536;14;115,0,0,0,0,1002,0,8
10009002,1,10001503,海纳百川·甲,0,0,2,0,100,0,0,2,0,0,1009,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;6930;2;207900;3;444;4;1269;7;518;8;1728;14;130,0,0,0,0,1002,0,9
10010002,1,10001503,灵犀望月·甲,0,0,2,0,100,0,0,2,0,0,1010,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,18;7700;2;231000;3;494;4;1410;7;576;8;1920;14;145,0,0,0,0,1002,0,10
10011002,1,10001505,乱世天籁·甲,0,0,2,0,150,0,0,3,0,0,1011,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;10010;2;300300;3;641;4;1832;7;749;8;2496;14;160,0,0,0,0,1003,0,11
10012002,1,10001505,邪影々莲芯＾甲,0,0,2,0,150,0,0,3,0,0,1012,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;12320;2;369600;3;789;4;2254;7;922;8;3072;14;175,0,0,0,0,1003,0,12
10013002,1,10001505,辟地ぃ黄泉＾甲,0,0,2,0,150,0,0,3,0,0,1013,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;14630;2;438900;3;937;4;2676;7;1094;8;3648;14;190,0,0,0,0,1003,0,13
10014002,1,10001505,揽星ゃ太极清源甲,0,0,2,0,150,0,0,3,0,0,1014,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;16940;2;508200;3;1084;4;3098;7;1267;8;4224;14;205,0,0,0,0,1003,0,14
10015002,1,10001505,圣龙风火ァ无之甲,0,0,2,0,150,0,0,3,0,0,1015,1,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;19250;2;577500;3;1232;4;3520;7;1440;8;4800;14;220,0,0,0,0,1003,0,15
10016002,1,10001506,赤阳ㄟ神魔ミ甲,0,0,2,0,200,0,0,4,0,0,1016,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;21560;2;646800;3;1380;4;3942;7;1613;8;5376;14;235,0,0,0,0,1004,0,16
10017002,1,10001506,ㄟ神域ヲ焚天ㄨ甲,0,0,2,0,200,0,0,4,0,0,1017,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;23870;2;716100;3;1527;4;4364;7;1786;8;5952;14;250,0,0,0,0,1004,0,17
10018002,1,10001506,月影々圣光＾甲,0,0,2,0,200,0,0,4,0,0,1018,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;26180;2;785400;3;1675;4;4786;7;1958;8;6528;14;265,0,0,0,0,1004,0,18
10019002,1,10001506,赤阳ㄟ神魔ミ甲,0,0,2,0,200,0,0,4,0,0,1019,1,0,0,0,4,0,0,4,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;28490;2;854700;3;1823;4;5208;7;2131;8;7104;14;280,0,0,0,0,1004,0,19
10020002,1,10001506,ぺ上古へ神话ぃ刃ぺ甲,0,0,2,0,200,0,0,4,0,0,1020,1,0,0,0,4,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52004,0,0,9999,18;30800;2;924000;3;1971;4;5630;7;2304;8;7680;14;295,0,0,0,0,1004,0,20
10021002,1,10001507,ぺ暗黑ブ禁忌ぃ刃ぺ甲,0,0,2,0,250,0,0,5,0,0,1021,1,0,0,0,5,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,18;38500;2;1155000;3;2463;4;7038;7;2880;8;9600;14;310,0,0,0,0,1005,0,21
10022002,1,10001507,玄影ゃ火云阳炎甲,0,0,2,0,250,0,0,5,0,0,1022,1,0,0,0,5,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,18;53900;2;1617000;3;3449;4;9854;7;4032;8;13440;14;325,0,0,0,0,1005,0,22
10023002,1,10001507,万剑归宗ァ吟啸甲,0,0,2,0,250,0,0,5,0,0,1023,1,0,0,0,5,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,18;69300;2;2079000;3;4435;4;12670;7;5184;8;17280;14;340,0,0,0,0,1005,0,23
10024002,1,10001507,太古々沧海ん甲,0,0,2,0,250,0,0,5,0,0,1024,1,0,0,0,6,0,0,5,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,18;92400;2;2772000;3;5913;4;16894;7;6912;8;23040;14;355,0,0,0,0,1005,0,24
10025002,1,10001507,红名恐惧·陨落甲,0,0,2,0,250,0,0,5,0,0,1025,1,0,0,0,6,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52005,0,0,9999,18;115500;2;3465000;3;7391;4;21118;7;8640;8;28800;14;370,0,0,0,0,1005,0,25
10026002,1,10001508,圣龙风火ァ无之甲,0,0,2,0,250,0,0,5,0,0,1026,1,0,0,0,7,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,18;146300;2;4389000;3;9363;4;26750;7;10944;8;36480;14;385,0,0,0,0,1006,0,26
10027002,1,10001508,炙焰＾修罗嗜血·甲,0,0,2,0,300,0,0,6,0,0,1027,1,0,0,0,7,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,18;177100;2;5313000;3;11334;4;32382;7;13248;8;44160;14;400,0,0,0,0,1006,0,27
10028002,1,10001508,苍龍＾狂龙之怒·甲,0,0,2,0,300,0,0,5,0,0,1028,1,0,0,0,7,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,18;215600;2;6468000;3;13798;4;39422;7;16128;8;53760;14;415,0,0,0,0,1006,0,28
