#怪物ID,资源编号,触发脚本,攻击AI,显示名,技能类型,技能资源,目标特效,等级,目标特效,视野范围,获得经验,获得内功,血量,魔量,最小物防,最大物防,最小法防,最大法防,最小物攻,最大物攻,最小法攻,最大法攻,闪避,命中,移动最小时间间隔（无效）,移动最大时间间隔,移动距离,攻击间隔时间,头像,喊话间隔,子类型,掉落组ID,巡逻范围,追击范围,是否可以被撞,切换目标ai类型,切换目标间隔,伤害系数,距离仇仇恨系数,编辑器目录,类型,怪物组别,传送点id,默认AI,巡逻速度,尸体消失时间,刷新时间,方向固定,暴击率,抗暴击,物理攻击减免,魔法减免,回血速度,是否显示刷新公告,是否显示掉落公告,BOSS积分,功能ID,属性(id;val;id;val.../没有填0),默认对话,是否会喊话,随机喊话,简单掉落ID,武器形象,翅膀形象,称号形象,采集时间,是否显示怪物归属,死亡是否显示墓碑,禁止变形,内观缩放,内观X,内观Y
#id,model,script,AI,name,effect_type,effect_res,target_effect,lev,zslevel,sight,exp,inside_power_exp,MHP,mp,MinDEF,MaxDEF,MinMDEF,MaxMDEF,MinATK,MaxATK,MinMATK,MaxMATK,DODGE,HIT,minStayTime,maxStayTime,moveTime,interval,head_icon,talkgap,subType,dropID,patrol,maxmove,canPush,switch_target_type,switch_target_interval,hatred_damage_ratio,hatred_distance_ratio,editdir,type,monGroup,teleportID,defaultAI,patrolTime,deadTime,refreshTime,dirFixed,CRIRate,DUCrate,ADTR,MR,HPup,isShowRefresh,isS,bossIntegral,funcid,attr,dialog,canSpeak,randomDialog,simpleDropID,weapon,wing,title,collectTime,noShowOwner,showTomb,forbidShape,showScale,showX,showY
#int,int,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,bool,int,int,int,int,string,int,int,int,string,int,int,int,int,int,int,int,int,int,bool,bool,int,string,string,string,bool,string[],int,int,int,int,int,bool,bool,int,int,int,int
#新手怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003002,30202,default,50001,猛玛战象,0,0,0,200,0,6,0,0,128357,0,525,2098,525,2098,275,1099,275,1099,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003003,30203,default,50001,石头人战士,0,0,0,300,0,6,0,0,165961,0,607,2426,607,2426,322,1289,322,1289,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003004,30204,default,50001,黑暗战士,0,0,0,300,0,6,0,0,209311,0,692,2769,692,2769,373,1493,373,1493,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003005,30205,default,50001,双头金刚,0,0,0,400,0,6,0,0,258750,0,781,3125,781,3125,428,1710,428,1710,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003006,30206,default,50001,双头血魔,0,0,0,400,0,6,0,0,314550,0,874,3495,874,3495,486,1942,486,1942,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003007,30207,default,50001,双头战狂,0,0,0,500,0,6,0,0,424278,0,1091,4365,1091,4365,616,2462,616,2462,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003008,30208,default,50001,百通修罗,0,0,0,500,0,6,0,0,599778,0,1436,5745,1436,5745,823,3291,823,3291,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003009,30209,default,50001,百通阿修罗王,0,0,0,600,0,6,0,0,821934,0,1841,7365,1841,7365,1072,4287,1072,4287,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003010,30210,default,50001,半兽人将军,0,0,0,600,0,6,0,0,1095930,0,2306,9225,2306,9225,1364,5456,1364,5456,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003011,30211,default,50001,野猪守卫,0,0,0,700,0,6,0,0,1426950,0,2831,11325,2831,11325,1702,6807,1702,6807,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003012,30212,default,50001,黄泉战士,0,0,0,700,0,6,0,0,1898100,0,3563,14250,3563,14250,2177,8708,2177,8708,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003013,30213,default,50001,黄泉将军,0,0,0,800,0,6,0,0,2194452,0,3908,15630,3908,15630,2429,9714,2429,9714,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003014,30214,default,50001,半兽人战狂,0,0,0,800,0,6,0,0,2426544,0,4110,16440,4110,16440,2598,10393,2598,10393,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003015,30215,default,50001,双头食人魔战士,0,0,0,900,0,6,0,0,2674944,0,4320,17280,4320,17280,2779,11116,2779,11116,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003016,30216,default,50001,古武族战士,0,0,0,900,0,6,0,0,3061800,0,4725,18900,4725,18900,3094,12375,3094,12375,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003017,30217,default,50001,古武族法师,0,0,0,1000,0,6,0,0,2746116,0,4058,16230,4058,16230,2705,10820,2705,10820,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003018,30218,default,50001,逆魔尸霸,0,0,0,1000,0,6,0,0,3005856,0,4260,17040,4260,17040,2893,11570,2893,11570,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003019,30219,default,50001,黄泉守卫,0,0,0,1100,0,6,0,0,3282768,0,4470,17880,4470,17880,3093,12370,3093,12370,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003020,30220,default,50001,虹魔蝎卫,0,0,0,1100,0,6,0,0,3720600,0,4875,19500,4875,19500,3438,13750,3438,13750,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003021,30221,default,50001,古武族护卫,0,0,0,1200,0,6,0,0,4205520,0,5310,21240,5310,21240,3818,15271,3818,15271,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100003022,30222,default,50001,白野猪王,0,0,0,1200,0,6,0,0,4957200,0,5738,22950,5738,22950,4208,16830,4208,16830,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
#战将怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100004001,30301,default,50001,智龙战将,0,0,0,300,0,7,0,0,284508,0,659,2635,659,2635,409,1637,409,1637,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004002,30302,default,50001,深渊树精,0,0,0,300,0,7,0,0,373014,0,751,3003,751,3003,475,1899,475,1899,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004003,30303,default,50001,古武族战将,0,0,0,400,0,7,0,0,475582,0,847,3388,847,3388,545,2179,545,2179,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004004,30304,default,50001,巨石战将,0,0,0,400,0,7,0,0,593096,0,947,3788,947,3788,620,2480,620,2480,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004005,30305,default,50001,沃玛战将,0,0,0,500,0,7,0,0,878054,0,1270,5081,1270,5081,847,3388,847,3388,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004006,30306,default,50001,通天战将,0,0,0,500,0,7,0,0,1279278,0,1692,6769,1692,6769,1149,4596,1149,4596,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004007,30307,default,50001,虹魔战将,0,0,0,600,0,7,0,0,1796800,0,2189,8756,2189,8756,1515,6058,1515,6058,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004008,30308,default,50001,灵龙族战将,0,0,0,600,0,7,0,0,2445068,0,2761,11044,2761,11044,1947,7787,1947,7787,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004009,30309,default,50001,天龙族战将,0,0,0,700,0,7,0,0,3238805,0,3408,13631,3408,13631,2450,9800,2450,9800,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004010,30310,default,50001,智龙族军师,0,0,0,700,0,7,0,0,4378050,0,4313,17250,4313,17250,3163,12650,3163,12650,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004011,30311,default,50001,三劫蛟龙,0,0,0,800,0,7,0,0,5113080,0,4735,18938,4735,18938,3543,14171,3543,14171,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004012,30312,default,50001,牛魔战将,0,0,0,800,0,7,0,0,5698910,0,4978,19913,4978,19913,3803,15211,3803,15211,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100004013,30313,default,50001,神秘金甲武士,0,0,0,900,0,7,0,0,6327720,0,5231,20925,5231,20925,4081,16324,4081,16324,15,17,0,0,1,1000,0,0,4003,0,3,14,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
